proportion_vegetation_haute;adresse;geo_shape;geo_point_2d;nom_ev;nom_gerant;type_espace_vert;type_jardin_partage;domaine;proprietaire_terrain;statut_plu;amenagements;mail_1;mail_2;internet_1;internet_2;date_fermeture
;54 rue de Belleville;"{""coordinates"": [2.3816586824299124, 48.873065631366835], ""type"": ""Point""}";48.873065631366835, 2.3816586824299124;Jardin de la Place Fréhel;Slam Production;;CA;VP;DVD;;jardinières;slamproduction@orange.fr;;;;
;17 avenue Delaporte;"{""coordinates"": [2.4134322162422337, 48.848508261108975], ""type"": ""Point""}";48.848508261108975, 2.4134322162422337;Jardin du Square Delaporte;La Belle Verte;CA;CA;VP;DEVE;;"abri grillagé
arrivée d'eau
panneau d'affichage";bonjour@larecoltecitadine.fr;;;;
;Eglise St Serge 93 rue de Crimée;"{""coordinates"": [2.384489762001406, 48.88382658817877], ""type"": ""Point""}";48.88382658817877, 2.384489762001406;Jardin Saint Serge;Jardin Saint Serge;;AUTRE;HVP;Institut de Théologie Orthodoxe Saint Serge;ZUGEVPBâtiment protégé;composteur Récupération d'eau broyeur;jpp.lejardinier@free.fr;;http://www.jardin-saintserge.fr/;;
;107 rue de Reuilly;"{""coordinates"": [2.3924064438468062, 48.84261013182172], ""type"": ""Point""}";48.84261013182172, 2.3924064438468062;Jardin Santerre;Association des résidents du 107;;AUTRE;HVP;Paris Habitat;ZUG;composteurs;;;http://jardinsanterre.blogspot.com/;;
;156 rue Raymond Losserand;"{""coordinates"": [2.3113377449307855, 48.83058722620449], ""type"": ""Point""}";48.83058722620449, 2.3113377449307855;Jardin Jean Genet;Jardin Jean Genet;;AUTRE;HVP;Paris Habitat;ZUGEVP;cabane;clergerie.cath@free.fr;;http://jardin-jean-genet.blogspot.com/;;
;Square Saint Lambert, 2 rue Jean Formige;"{""coordinates"": [2.297522496966647, 48.841739957697754], ""type"": ""Point""}";48.841739957697754, 2.297522496966647;Le Jardin des oursons de saint Lambert;le jardin des oursons saint Lambert;CA;CA;VP;DEVE;ZUVEBCinscrit aux monuments historiques;cabane terrasse en platelage bois composteurs;jardindesoursons@gmail.com;;http://www.lejardindesoursons.sitew.fr/;;
;Square des Cardeurs;"{""coordinates"": [2.407219234473548, 48.85830145010564], ""type"": ""Point""}";48.85830145010564, 2.407219234473548;Jardin partagé Soleil Blaise;Centre social Soleil Blaise;;AUTRE;HVP;RIVP+EFIDIS;;compoteurs collectifs dpe;soleilblaise@free.fr;;http://soleilblaise.org/;;
;11 ter rue d'Alésia;"{""coordinates"": [2.335502899228015, 48.82701050899308], ""type"": ""Point""}";48.82701050899308, 2.335502899228015;jardin partagé Alice Millat;association jardin partagé Alice millat;;CA;VP;DJS;;une arrivée d'eau - une clôture - des gardes corps - un composteur;jpam.asso@gmail.com;;;;
;159 rue Croix Nivert;"{""coordinates"": [2.290746184591024, 48.840321705223396], ""type"": ""Point""}";48.840321705223396, 2.290746184591024;Ombrelle et coccinelle;Ombrelle et coccinelle;AUTRE;AUTRE;HVP;Paris Habitat;Emplacement réservé en vue de la réalisation de logement;cabane composteur;contact@ombcoc.fr;;https://ombrelleetcoccinelle.wordpress.com/;;
;Square Charles Péguy 21 rue Rottembourg;"{""coordinates"": [2.406549295245265, 48.83849258921216], ""type"": ""Point""}";48.83849258921216, 2.406549295245265;Jardin Bel-Air;Graine de partage;CA;CA;HVP;DEVE + RFF;ZUV;composteur cabane mare bac surélevé;grainedp@yahoo.fr;;;;
